City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Biltine,TD,14.5333,20.9167,71.44,16,2,14.07,clear sky
Bethel,US,41.3712,-73.414,59.09,88,100,5.75,mist
Bredasdorp,ZA,-34.5322,20.0403,63.64,82,8,3.71,clear sky
Klyuchi,RU,52.2667,79.1667,-11.36,98,15,3.94,few clouds
Koshki,RU,54.2091,50.4677,1.18,95,10,5.3,clear sky
Nemuro,JP,43.3236,145.575,32.52,61,100,6.87,overcast clouds
Kapaa,US,22.0752,-159.319,79.12,78,20,16.11,few clouds
Nabire,ID,-3.3667,135.4833,76.33,84,100,2.91,overcast clouds
Xiongyue,CN,40.1774,122.1228,34.07,38,100,4.12,overcast clouds
Ambon,ID,-3.6954,128.1814,75.34,94,20,5.75,few clouds
Kralendijk,BQ,12.15,-68.2667,76.98,94,75,3.44,broken clouds
Galle,LK,6.0367,80.217,78.1,78,100,17.85,overcast clouds
Rikitea,PF,-23.1203,-134.9692,75.36,81,16,19.55,light rain
Simoes,BR,-7.5989,-40.8178,92.89,25,11,9.82,few clouds
Torbay,CA,47.6666,-52.7314,39.27,97,100,9.22,light intensity drizzle
Ketchikan,US,55.3422,-131.6461,41.47,87,100,16.11,light rain
Kamaishi,JP,39.2667,141.8833,38.82,77,58,5.44,broken clouds
Katakwi,UG,1.8911,33.9661,74.3,50,91,6.93,overcast clouds
Goiatuba,BR,-18.0125,-49.3547,83.98,46,43,8.88,scattered clouds
Viedma,AR,-40.8135,-62.9967,91.18,17,100,15.48,overcast clouds
Pringsewu,ID,-5.3582,104.9744,73.27,98,100,2.86,overcast clouds
Broken Hill,AU,-31.95,141.4333,50.45,53,0,19.62,clear sky
Leshukonskoye,RU,64.8989,45.7622,18.03,95,98,6.64,overcast clouds
Saint George,US,37.1041,-113.5841,44.26,84,100,3.0,overcast clouds
Inuvik,CA,68.3499,-133.7218,-17.39,69,75,6.91,broken clouds
Touros,BR,-5.1989,-35.4608,82.51,67,40,17.34,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,65.39,57,1,17.18,clear sky
Hithadhoo,MV,-0.6,73.0833,81.23,78,100,12.06,overcast clouds
Tiksi,RU,71.6872,128.8694,-9.87,99,100,8.41,overcast clouds
Coihueco,CL,-36.6167,-71.8333,70.54,56,75,3.44,broken clouds
Dikson,RU,73.5069,80.5464,-13.97,95,92,19.28,overcast clouds
Thompson,CA,55.7435,-97.8558,-18.24,69,75,8.05,broken clouds
Raahe,FI,64.6833,24.4833,14.09,85,87,8.48,overcast clouds
Shima,CN,24.4478,117.8111,60.82,85,0,1.1,clear sky
Lorengau,PG,-2.0226,147.2712,79.56,82,94,7.96,overcast clouds
Castro,BR,-24.7911,-50.0119,81.3,52,0,6.85,clear sky
Port Lincoln,AU,-34.7333,135.8667,53.62,64,4,9.35,clear sky
Tuatapere,NZ,-46.1333,167.6833,56.52,77,100,5.7,light rain
Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,99,75,6.91,broken clouds
Fairbanks,US,64.8378,-147.7164,19.92,90,100,0.0,light snow
Charters Towers,AU,-20.1,146.2667,74.08,50,5,8.41,clear sky
Otjimbingwe,NA,-22.35,16.1333,71.91,30,0,9.33,clear sky
San Carlos De Bariloche,AR,-41.1456,-71.3082,54.25,87,75,24.16,moderate rain
Tunceli,TR,39.1083,39.5471,45.23,73,100,1.39,overcast clouds
Kashi,CN,39.4547,75.9797,27.61,36,5,2.24,clear sky
Ugoofaaru,MV,5.6667,73.0,80.37,76,100,3.65,overcast clouds
Gay,RU,51.4666,58.4552,-6.36,90,10,2.55,clear sky
Singkawang,ID,0.9,109.0,75.31,96,100,4.74,light rain
Opusztaszer,HU,46.4859,20.0872,37.17,81,19,4.23,few clouds
Saskylakh,RU,71.9167,114.0833,-34.6,100,97,4.21,overcast clouds
Batagay,RU,67.6333,134.6333,-29.58,97,100,2.35,overcast clouds
Mahebourg,MU,-20.4081,57.7,77.29,88,75,18.41,light rain
Omboue,GA,-1.5746,9.2618,77.2,84,99,5.17,overcast clouds
Saldanha,ZA,-33.0117,17.9442,63.57,88,6,12.53,clear sky
Kasongo-Lunda,CD,-6.4667,16.8167,68.65,89,100,2.46,overcast clouds
Inta,RU,66.0317,60.1659,11.14,94,100,19.95,light snow
Merrill,US,45.1805,-89.6835,26.89,84,100,5.75,overcast clouds
Christchurch,NZ,-43.5333,172.6333,57.9,66,100,19.57,overcast clouds
Faro,PT,37.0194,-7.9322,64.18,94,40,10.36,scattered clouds
Ponta Do Sol,PT,32.6667,-17.1,66.83,81,21,16.53,light rain
Santa Rosa,PH,14.3122,121.1114,81.09,86,80,6.29,broken clouds
Vallenar,CL,-28.5708,-70.7581,85.55,33,81,10.54,broken clouds
Halifax,CA,44.6453,-63.5724,47.44,98,100,17.27,light intensity drizzle
Muriti,TZ,-1.9833,32.9167,74.8,64,55,5.21,broken clouds
Grindavik,IS,63.8424,-22.4338,30.67,86,20,5.75,few clouds
Mahibadhoo,MV,3.7833,72.9667,80.89,80,100,11.77,overcast clouds
Norilsk,RU,69.3535,88.2027,2.48,97,100,6.17,light snow
Roald,NO,62.5833,6.1333,33.33,93,100,24.16,snow
Lasa,IT,46.6166,10.7002,34.68,75,31,2.04,scattered clouds
Mount Gambier,AU,-37.8333,140.7667,49.57,55,45,9.66,scattered clouds
Carora,VE,10.1755,-70.0827,85.05,40,99,1.88,overcast clouds
Weinan,CN,34.5036,109.5089,39.36,60,99,3.94,overcast clouds
Jabinyanah,TN,35.035,10.9081,62.4,72,4,5.01,clear sky
Oksfjord,NO,70.2396,22.3479,33.98,92,81,7.43,broken clouds
Henties Bay,NA,-22.116,14.2845,59.13,87,0,9.73,clear sky
Upernavik,GL,72.7868,-56.1549,28.09,61,100,14.7,overcast clouds
Shingu,JP,33.7333,135.9833,44.15,71,0,5.99,clear sky
Praia,CV,14.9215,-23.5087,79.34,65,20,13.8,few clouds
Kahului,US,20.8947,-156.47,77.85,77,0,26.46,clear sky
Kodiak,US,57.79,-152.4072,29.71,80,100,26.46,light snow
Calvinia,ZA,-31.4707,19.776,66.24,27,0,3.98,clear sky
Walvis Bay,NA,-22.9575,14.5053,63.55,77,0,12.66,clear sky
Gravelbourg,CA,49.8834,-106.5512,1.67,84,6,14.74,clear sky
Sherlovaya Gora,RU,50.5667,116.25,-3.53,95,29,5.97,scattered clouds
Taujica,HN,15.7,-85.9167,76.51,54,58,5.28,broken clouds
Beira,MZ,-19.8436,34.8389,80.42,80,100,10.02,light rain
Banda Aceh,ID,5.5577,95.3222,78.08,82,100,5.91,light rain
Mar Del Plata,AR,-38.0023,-57.5575,88.83,84,0,17.0,clear sky
Tual,ID,-5.6667,132.75,82.47,72,87,7.43,overcast clouds
Toma,BF,12.7667,-2.8833,81.68,16,0,8.28,clear sky
Bac Lieu,VN,9.285,105.7244,77.76,90,100,15.95,overcast clouds
Turinskaya Sloboda,RU,57.6232,64.3858,3.96,90,27,8.48,scattered clouds
Luwuk,ID,-0.9516,122.7875,75.7,70,97,3.22,overcast clouds
Vostok,RU,46.4856,135.8833,-0.65,99,100,3.62,overcast clouds
Mayskiy,RU,47.6931,40.1025,24.21,73,100,16.33,overcast clouds
Assiniboia,CA,49.6334,-105.9845,1.22,66,6,8.05,clear sky
Ismailia,EG,30.6043,32.2723,61.41,65,4,6.62,clear sky
Dingle,PH,10.9995,122.6711,72.86,92,99,5.7,overcast clouds
Yulara,AU,-25.2406,130.9889,75.87,33,95,18.25,overcast clouds
Sztum,PL,53.9208,19.0307,39.33,84,100,13.18,overcast clouds
Tiarei,PF,-17.5333,-149.3333,84.22,82,57,18.34,broken clouds
Palmer,US,42.1584,-72.3287,58.55,86,100,12.66,light rain
Lagoa,PT,39.05,-27.9833,60.17,77,31,19.04,scattered clouds
Tecoanapa,MX,16.5167,-98.75,83.34,65,6,8.7,clear sky
Honningsvag,NO,70.9821,25.9704,37.15,81,40,17.27,scattered clouds
Siemiatycze,PL,52.4272,22.8623,33.15,97,100,16.71,light snow
Saint-Pierre,RE,-21.3393,55.4781,78.91,78,0,13.8,clear sky
Termiz,UZ,37.2242,67.2783,35.69,87,100,4.61,mist
Gwadar,PK,25.1216,62.3254,75.54,64,0,8.55,clear sky
Hualmay,PE,-11.0964,-77.6139,71.13,72,14,9.64,few clouds
Gayeri,BF,12.6497,0.4931,81.66,18,2,9.48,clear sky
Pisco,PE,-13.7,-76.2167,69.85,78,20,8.05,few clouds
Sept-Iles,CA,50.2001,-66.3821,36.12,98,100,18.41,moderate rain
Aasiaat,GL,68.7098,-52.8699,27.75,77,100,6.35,overcast clouds
Requena,ES,39.4883,-1.1004,49.78,79,100,1.88,overcast clouds
Port Blair,IN,11.6667,92.75,80.64,83,75,2.3,mist
Sainte-Rose,GP,16.3324,-61.6979,82.44,61,0,11.5,clear sky
Najran,SA,17.4924,44.1277,70.45,27,4,1.81,clear sky
Haines Junction,CA,60.7522,-137.5108,10.35,92,100,1.14,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,12.2,67,75,3.44,broken clouds
Labuhan,ID,-6.8844,112.2051,79.21,80,100,1.63,overcast clouds
Alice Springs,AU,-23.7,133.8833,76.55,33,34,9.22,scattered clouds
Miles City,US,46.4083,-105.8406,11.37,72,0,9.22,clear sky
Tukrah,LY,32.5341,20.5791,67.44,58,19,6.96,few clouds
Acapulco,MX,16.8634,-99.8901,85.82,66,0,4.61,clear sky
Punta Alta,AR,-38.8759,-62.0736,96.55,48,72,9.86,broken clouds
Bend,US,44.0582,-121.3153,32.61,77,0,11.01,clear sky
Daitari,IN,21.1,85.75,59.81,37,100,3.44,overcast clouds
Sitka,US,57.0531,-135.33,42.69,75,100,20.71,light rain
Aklavik,CA,68.2191,-135.0107,-14.8,70,40,13.8,scattered clouds
Atar,MR,20.5169,-13.0499,93.25,17,100,6.91,overcast clouds
Cidreira,BR,-30.1811,-50.2056,74.17,70,0,9.24,clear sky
Valparaiso,CL,-33.0393,-71.6273,84.43,69,0,19.57,clear sky
Kastamonu,TR,41.5,33.6667,38.28,68,100,1.63,overcast clouds
Kasempa,ZM,-13.4584,25.8338,65.89,73,23,2.93,few clouds
Sobolevo,RU,54.4299,31.8996,23.22,94,100,17.81,light snow
Bengkulu,ID,-3.8004,102.2655,75.52,91,100,5.82,overcast clouds
Zhigalovo,RU,54.8097,105.1578,10.71,91,100,8.5,light snow
San-Pedro,CI,4.7485,-6.6363,78.4,86,92,6.2,overcast clouds
Gostyn,PL,51.8825,17.0123,36.05,87,100,14.32,overcast clouds
Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,3.44,moderate rain
Celendin,PE,-6.8703,-78.1517,70.32,43,61,7.65,light rain
Muros,ES,42.7762,-9.0603,54.68,87,100,8.86,overcast clouds
Faanui,PF,-16.4833,-151.75,80.69,77,100,21.27,overcast clouds
Honiara,SB,-9.4333,159.95,77.41,88,88,2.59,overcast clouds
Burnie,AU,-41.0667,145.9167,45.95,64,8,15.19,clear sky
Nishihara,JP,26.1842,127.7558,65.86,75,40,13.8,scattered clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,6.91,81,90,14.32,overcast clouds
Althofen,AT,46.8818,14.4676,32.25,89,99,1.21,overcast clouds
Dolores,AR,-36.3132,-57.6792,93.06,27,35,14.25,scattered clouds
Winslow,US,35.0242,-110.6974,53.15,32,95,15.37,overcast clouds
Isla Mujeres,MX,21.2311,-86.731,84.25,65,0,13.62,clear sky
Bonavista,CA,48.6499,-53.1147,37.89,93,100,10.96,overcast clouds
Pacific Grove,US,36.6177,-121.9166,55.42,77,0,4.0,clear sky
San Patricio,US,28.017,-97.5169,82.26,58,57,15.99,broken clouds
Portland,US,45.5234,-122.6762,42.64,89,75,8.05,haze
Manaure,CO,11.7751,-72.4445,82.78,63,22,11.79,few clouds
Guangyuan,CN,32.442,105.823,44.78,80,100,1.86,overcast clouds
Mayo,US,38.8876,-76.5119,57.31,94,100,3.44,overcast clouds
Berlevag,NO,70.8578,29.0864,37.35,81,75,21.85,broken clouds
Bubaque,GW,11.2833,-15.8333,81.1,66,0,12.1,clear sky
Nanortalik,GL,60.1432,-45.2371,27.39,81,99,7.76,overcast clouds
Sulangan,PH,11.1373,123.7228,81.43,74,99,15.79,overcast clouds
Necochea,AR,-38.5473,-58.7368,93.42,30,13,13.94,few clouds
Hobyo,SO,5.3505,48.5268,79.65,80,93,16.49,overcast clouds
Baraboo,US,43.4711,-89.7443,33.94,91,100,5.75,mist
Pitimbu,BR,-7.4706,-34.8086,84.79,70,71,12.24,broken clouds
Erie,US,42.7667,-78.6664,44.67,85,100,1.99,overcast clouds
Bardiyah,LY,31.7561,25.0865,63.75,58,0,9.75,clear sky
Tasiilaq,GL,65.6145,-37.6368,24.96,78,99,3.27,overcast clouds
Yegros,PY,-26.45,-56.4,99.12,28,13,2.42,few clouds
Lundazi,ZM,-12.2929,33.1782,72.07,63,95,5.3,overcast clouds
Thunder Bay,CA,48.4001,-89.3168,1.38,55,20,9.22,few clouds
Narsaq,GL,60.9167,-46.05,25.02,73,97,5.48,overcast clouds
Shangrao,CN,28.4532,117.9686,49.44,94,100,1.14,overcast clouds
Krasnozerskoye,RU,53.9828,79.2374,-9.35,97,43,5.55,scattered clouds
Talnakh,RU,69.4865,88.3972,-0.38,97,100,7.49,overcast clouds
Kholodnyy,RU,62.7167,147.95,-37.86,99,100,1.59,overcast clouds
Ewa Beach,US,21.3156,-158.0072,78.75,68,0,16.11,clear sky
Nagram,IN,26.6167,81.1333,57.25,38,0,5.21,clear sky
Coahuayana,MX,18.7333,-103.6833,87.57,54,0,6.44,clear sky
Tapes,BR,-30.6733,-51.3958,78.64,57,0,8.21,clear sky
Onega,RU,63.9061,38.1404,21.34,93,100,8.14,overcast clouds
Champerico,GT,14.3,-91.9167,88.34,64,0,7.14,clear sky
Vila Velha,BR,-20.3297,-40.2925,75.15,96,100,10.36,moderate rain
Kutum,SD,14.2,24.6667,60.66,21,1,11.39,clear sky
Port Hawkesbury,CA,45.6169,-61.3485,44.91,99,100,13.8,mist
Lira,UG,2.235,32.9097,72.79,62,92,3.74,overcast clouds
Leningradskiy,RU,69.3833,178.4167,-2.43,98,100,8.16,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,77.11,82,44,17.2,light rain
Vancouver,CA,49.2497,-123.1193,41.02,95,75,8.05,broken clouds
Cheney,US,47.4874,-117.5758,29.25,92,100,4.61,fog
Ostrovnoy,RU,68.0531,39.5131,26.51,81,100,14.56,overcast clouds
Nibbar,TN,36.2941,8.7666,56.08,77,20,1.14,few clouds
Avera,US,33.194,-82.5271,76.37,62,44,10.25,scattered clouds
Ribeira Brava,PT,32.65,-17.0667,66.0,82,12,16.89,light rain
Geraldton,AU,-28.7667,114.6,68.41,77,100,10.36,overcast clouds
Kuruman,ZA,-27.4524,23.4325,66.34,66,100,11.68,light rain
Biak,ID,-0.9131,122.8766,74.98,71,97,2.73,overcast clouds
Verkhoyansk,RU,67.5447,133.385,-29.29,96,100,4.21,overcast clouds
Jerantut,MY,3.936,102.3626,73.56,98,98,2.21,overcast clouds
Klaksvik,FO,62.2266,-6.589,32.92,71,100,26.82,light snow
Zhezkazgan,KZ,47.8043,67.7144,6.24,94,100,5.37,overcast clouds
Tay Ninh,VN,11.3,106.1,74.17,90,73,6.02,broken clouds
Hambantota,LK,6.1241,81.1185,77.34,78,20,4.61,few clouds
Senanga,ZM,-16.1167,23.2667,70.68,70,5,4.65,clear sky
Sao Filipe,CV,14.8961,-24.4956,75.49,77,38,10.89,scattered clouds
Ucluelet,CA,48.9329,-125.5528,43.09,88,100,1.01,overcast clouds
Dahuk,IQ,36.8695,42.994,48.81,65,10,2.17,clear sky
Bambanglipuro,ID,-7.95,110.2833,77.11,87,100,2.95,overcast clouds
Norfolk,US,42.1668,-71.2495,58.42,96,100,3.0,light rain
Burns Lake,CA,54.2331,-125.7533,17.02,91,100,3.53,overcast clouds
Esperance,AU,-33.8667,121.9,58.8,75,99,20.09,overcast clouds
Kununurra,AU,-15.7667,128.7333,78.78,89,20,8.05,few clouds
Jolalpan,MX,18.325,-98.8417,87.89,13,23,2.68,few clouds
Pontivy,FR,48.0,-3.0,41.05,90,100,2.93,overcast clouds
Goundi,TD,9.3627,17.366,78.28,20,17,4.47,few clouds
Broome,US,42.2506,-75.833,54.7,90,100,6.91,moderate rain
Brovst,DK,57.0956,9.528,28.33,93,75,5.75,broken clouds
Kenai,US,60.5544,-151.2583,26.15,94,100,3.44,overcast clouds
Bonthe,SL,7.5264,-12.505,80.4,78,88,9.46,overcast clouds
Margate,GB,51.3813,1.3862,37.69,86,56,7.0,broken clouds
Cam Ranh,VN,11.9214,109.1591,73.36,94,75,4.61,broken clouds
Williams Lake,CA,52.1415,-122.1445,25.05,81,75,5.75,broken clouds
Skegness,GB,53.1436,0.3363,39.34,81,32,14.07,scattered clouds
Port Macquarie,AU,-31.4333,152.9167,62.89,92,73,5.68,broken clouds
Priladozhskiy,RU,59.85,31.4833,20.97,87,100,13.85,overcast clouds
Zhigansk,RU,66.7697,123.3711,-31.86,96,24,11.3,few clouds
Lubango,AO,-14.9172,13.4925,62.35,88,72,2.84,light rain
Bathsheba,BB,13.2167,-59.5167,84.81,74,20,3.44,few clouds
Nakhon Phanom,TH,17.3333,104.4167,65.05,86,6,4.36,clear sky
Kokopo,PG,-4.352,152.2633,77.0,84,66,4.09,light rain
Ushtobe,KZ,45.2514,77.9838,9.59,91,39,8.95,scattered clouds
Karratha,AU,-20.7377,116.8463,77.38,54,0,16.08,clear sky
Gornopravdinsk,RU,60.05,69.9,1.54,95,100,8.48,overcast clouds
Qui Nhon,VN,13.7667,109.2333,76.12,91,78,13.98,light rain
Ontario,US,34.0633,-117.6509,59.65,72,20,5.75,few clouds
Severo-Kurilsk,RU,50.6789,156.125,30.07,88,100,12.5,light snow
Imbituba,BR,-28.24,-48.6703,75.43,70,0,10.67,clear sky
Svetlogorsk,BY,52.6333,29.7333,31.96,95,100,13.58,overcast clouds
Alofi,NU,-19.0595,-169.9187,80.49,89,100,4.61,overcast clouds
West Fargo,US,46.875,-96.9004,2.01,69,0,5.75,clear sky
Mattru,SL,7.6244,-11.8332,78.3,85,78,4.81,light rain
Gunib,RU,42.3876,46.9651,28.92,73,18,3.0,few clouds
Ingham,US,42.6,-84.3833,47.82,72,100,0.0,overcast clouds
Isabela,PH,6.7085,121.9711,77.52,85,92,1.39,overcast clouds
Somers,US,42.6403,-87.9104,42.57,85,100,6.91,haze
Isangel,VU,-19.55,169.2667,79.83,78,95,1.32,overcast clouds
Asilah,MA,35.465,-6.0348,66.16,77,100,8.79,overcast clouds
Bani,DO,18.2833,-70.3333,82.85,50,44,3.74,scattered clouds
Nova Odesa,UA,47.3078,31.7851,41.04,92,100,13.69,light rain
Saint-Francois,FR,46.4154,3.9054,32.68,93,75,3.44,mist
Komsomolskiy,UZ,40.4272,71.7189,34.52,80,75,4.61,mist
Gadwal,IN,16.2333,77.8,68.65,51,100,4.5,overcast clouds
Kavieng,PG,-2.5744,150.7967,81.41,75,95,7.9,overcast clouds
Salalah,OM,17.0151,54.0924,80.69,61,75,3.44,broken clouds
Port Elizabeth,ZA,-33.918,25.5701,70.11,86,20,20.71,few clouds
Katobu,ID,-4.9408,122.5276,73.99,83,98,1.81,overcast clouds
Rapid Valley,US,44.0625,-103.1463,27.59,76,0,14.0,clear sky
Middletown,US,39.5151,-84.3983,52.54,95,100,5.75,mist
Jiayuguan,CN,39.8167,98.3,17.98,78,100,3.91,overcast clouds
Chota,PE,-6.55,-78.65,64.98,63,99,4.81,light rain
Nador,MA,35.174,-2.9287,62.85,72,0,2.3,clear sky
Mackenzie,CA,55.2999,-123.1698,25.02,93,100,6.91,light snow
Tarrafal,CV,15.2833,-23.7667,79.59,82,22,13.56,few clouds
Hornepayne,CA,49.2138,-84.7705,4.96,76,100,7.72,overcast clouds
Williston,US,48.147,-103.618,9.34,71,22,4.0,few clouds
Tilichiki,RU,60.4667,166.1,2.84,96,100,6.67,overcast clouds
Constitucion,CL,-35.3333,-72.4167,68.38,66,22,10.07,few clouds
Chokurdakh,RU,70.6333,147.9167,-8.99,99,100,6.62,overcast clouds
Svencionys,LT,55.15,26.1667,31.53,98,100,12.82,light snow
Calama,CL,-22.4667,-68.9333,75.69,12,0,25.32,clear sky
Adiake,CI,5.2863,-3.304,79.23,82,67,8.77,broken clouds
Denpasar,ID,-8.65,115.2167,80.26,74,40,2.3,scattered clouds
Moron,AR,-34.6534,-58.6198,93.02,31,100,8.7,light rain
Namibe,AO,-15.1961,12.1522,69.46,75,5,5.68,clear sky
Almeria,ES,37.1667,-2.3333,52.77,83,99,2.01,overcast clouds
La Union,PE,-5.4,-80.75,82.53,42,99,16.17,overcast clouds
